7040	7040	-1
4176	7337	-1
7709	57447	-1
1460	4792	-1
4880	4878	-1
4067	2042	-1
7157	10733	-1
1647	9133	-1
8837	8737	-1
4221	4790	-1
5931	3020	-1
4803	389	-1
896	5934	-1
3458	4023	-1
4084	7015	-1
23624	3791	-1
868	652799	-1
57154	1436	-1
6915	10681	-1
1856	4854	-1
51083	7054	-1
5599	4671	-1
7070	394	-1
5602	8660	-1
2773	915	-1
5432	4088	-1
2775	3123	-1
4023	2	-1
9350	7484	-1
5609	355	-1
867	3815	-1
3565	8600	-1
867	3679	-1
3659	3320	-1
3561	22806	-1
9842	23405	-1
4609	1052	-1
8555	51434	-1
5595	7249	-1
7046	7049	-1
9700	27127	-1
1027	10728	-1
4088	5080	-1
25805	7048	-1
5594	2255	-1
23624	4914	-1
5071	3832	-1
11059	26994	-1
387	53358	-1
5564	32	-1
9586	2033	-1
815	6853	-1
5423	2087	-1
3071	3624	-1
8651	3575	-1
4089	993	-1
868	2263	-1
1906	4880	-1
5601	8660	-1
4067	2353	-1
23512	3021	-1
5970	2195	-1
2770	920	-1
122809	163702	-1
1543	196	-1
23468	4089	-1
2908	56729	-1
5528	1499	-1
10928	998	-1
23624	2066	-1
64121	2475	-1
5037	4792	-1
10193	57448	-1
8826	4735	-1
4350	7031	-1
30009	6775	-1
5520	5584	-1
1026	5544	-1
2908	4312	-1
5777	3454	-1
5563	2475	-1
9655	3563	-1
2314	5310	-1
5925	4601	-1
9214	11124	-1
4040	1499	-1
7709	6352	-1
23624	2534	-1
3551	8660	-1
23291	3791	-1
23385	10782	-1
3192	2965	-1
7040	1581	-1
267	6647	-1
1456	5187	-1
5624	2157	-1
2908	30009	-1
54961	1072	-1
2932	4137	-1
5928	2735	-1
1949	6237	-1
5536	472	-1
8651	7124	-1
23624	9180	-1
4878	3359	-1
51588	8651	-1
3455	7015	-1
7534	6117	-1
5909	54386	-1
1848	6300	-1
3065	333929	-1
4193	2263	-1
11156	5879	-1
5347	675	-1
3458	1571	-1
2280	2475	-1
2691	6750	-1
573	3963	-1
6714	2247	-1
10657	1387	-1
1500	3082	-1
1026	7027	-1
894	1871	-1
3827	1511	-1
868	1436	-1
9020	5971	-1
10284	4087	-1
1026	6774	-1
55250	6774	-1
6597	1869	-1
5702	6622	-1
5931	4087	-1
6422	2535	-1
8626	3280	-1
5931	2737	-1
3565	3595	-1
5500	51806	-1
3385	1437	-1
7709	3054	-1
5045	255738	-1
378884	7957	-1
598	1329	-1
1869	7015	-1
3315	356	-1
5996	917	-1
5581	4233	-1
6622	5718	-1
7050	4087	-1
8651	3932	-1
284312	7593	-1
9021	53833	-1
5580	65108	-1
3394	5783	-1
5223	5058	-1
3565	3458	-1
868	2066	-1
53944	4772	-1
5610	83939	-1
2932	1385	-1
3586	5743	-1
11059	2321	-1
4904	7040	-1
3725	3105	-1
5431	4088	-1
5781	4254	-1
10193	2066	-1
9467	974	-1
5770	7297	-1
25970	3717	-1
5530	84152	-1
9655	9180	-1
5499	5255	-1
1949	3845	-1
2100	718	-1
5933	4605	-1
3932	6609	-1
7337	6622	-1
7248	6097	-1
801	4082	-1
83737	7040	-1
7462	5321	-1
5987	5925	-1
7040	6198	-1
7124	23315	-1
3458	3082	-1
23640	3303	-1
5494	8312	-1
10393	891	-1
5581	6915	-1
867	7409	-1
200576	85477	-1
10193	2264	-1
5778	5603	-1
5934	4601	-1
122809	3587	-1
5728	10000	-1
2781	917	-1
55787	4318	-1
54971	595	-1
10252	867	-1
5693	6622	-1
5777	2056	-1
8646	1482	-1
3480	1499	-1
6280	3458	-1
9655	1439	-1
8556	51434	-1
9978	4087	-1
5527	1385	-1
8454	1017	-1
10637	7042	-1
4193	7012	-1
5506	808	-1
3490	3630	-1
27250	1981	-1
6853	2781	-1
92140	6506	-1
3204	3725	-1
5500	5347	-1
5530	775	-1
3479	55558	-1
7187	115650	-1
4609	9063	-1
27236	375	-1
5771	3569	-1
11047	6622	-1
831	3688	-1
3105	940	-1
1843	5600	-1
6195	4661	-1
5501	10398	-1
4599	10542	-1
23624	3717	-1
4691	4193	-1
664	598	-1
1857	4855	-1
6424	80326	-1
9655	3572	-1
5696	6622	-1
7124	2192	-1
11059	2261	-1
7450	7057	-1
1154	2690	-1
5573	5595	-1
122809	3561	-1
3312	5599	-1
4092	4093	-1
959	3558	-1
701	64682	-1
8554	6777	-1
3458	3316	-1
3606	928	-1
925	6426	-1
2185	3737	-1
408	2150	-1
5970	4199	-1
11200	5923	-1
3932	2041	-1
6009	673	-1
5076	1672	-1
5594	7533	-1
3827	4846	-1
53615	333929	-1
5922	4893	-1
161742	9584	-1
942	3122	-1
6804	10368	-1
816	995	-1
4149	23671	-1
51529	10744	-1
23624	3480	-1
11072	5600	-1
1950	7039	-1
1639	3831	-1
7158	1874	-1
190	1588	-1
5921	375	-1
6622	3315	-1
595	5925	-1
5593	5350	-1
260434	29108	-1
7010	150678	-1
5148	1259	-1
7763	7124	-1
824	3696	-1
8851	22853	-1
83737	3480	-1
2781	3123	-1
2212	27040	-1
6195	4234	-1
6776	1374	-1
6256	5916	-1
5568	5747	-1
2932	64764	-1
701	29882	-1
329	840	-1
4763	3845	-1
5518	1111	-1
6288	4353	-1
11221	5602	-1
8543	8554	-1
6781	7124	-1
5599	23164	-1
2782	6387	-1
1850	1432	-1
4214	1452	-1
3065	11317	-1
1017	990	-1
917	5781	-1
675	5888	-1
6957	5781	-1
23624	3568	-1
5465	4023	-1
3689	3732	-1
8646	392255	-1
6286	27101	-1
51588	354	-1
10193	4914	-1
7132	5468	-1
5564	51085	-1
3718	3716	-1
4609	223	-1
472	472	-1
3383	3930	-1
722	720	-1
815	9743	-1
6047	7227	-1
1844	5594	-1
5933	1719	-1
1831	4790	-1
444	10987	-1
10419	9134	-1
1454	2737	-1
7157	7157	-1
4609	1191	-1
7421	3725	-1
55662	9546	-1
4773	3565	-1
114769	3725	-1
7295	4790	-1
3204	2353	-1
9846	3265	-1
8726	3020	-1
8312	1499	-1
639	5079	-1
57104	3952	-1
5501	29895	-1
9112	3963	-1
5771	3630	-1
9978	1028	-1
8620	551	-1
7329	3298	-1
5054	7124	-1
7014	54386	-1
5728	3481	-1
3459	801	-1
10193	4233	-1
11221	1432	-1
991	891	-1
3586	199	-1
22943	4041	-1
1846	5602	-1
6804	8912	-1
4082	5535	-1
6776	4843	-1
4914	8517	-1
3065	1869	-1
6424	7474	-1
1022	8900	-1
1432	4773	-1
7132	4792	-1
375	1212	-1
64750	2321	-1
3172	2671	-1
324	5423	-1
2773	2534	-1
5786	9564	-1
5519	5590	-1
5594	8823	-1
5594	4661	-1
6423	8324	-1
6717	6261	-1
11197	81029	-1
10928	5881	-1
4734	4914	-1
2908	5617	-1
5777	2185	-1
51177	3727	-1
867	3560	-1
4982	3589	-1
133	796	-1
1499	1029	-1
3303	7314	-1
4780	9817	-1
6772	3586	-1
6423	7484	-1
4149	10397	-1
80824	1432	-1
3984	1073	-1
5567	5829	-1
5566	55869	-1
5138	820	-1
4846	11167	-1
867	3953	-1
2149	4790	-1
64682	891	-1
7157	2908	-1
5590	4233	-1
3206	3484	-1
25998	4067	-1
396	5879	-1
7157	5159	-1
10023	2932	-1
4193	890	-1
6285	841	-1
650	5728	-1
286151	991	-1
10399	2904	-1
9612	5468	-1
3375	351	-1
2782	107	-1
8498	8313	-1
494551	983	-1
1017	650621	-1
8651	3595	-1
2782	427	-1
3169	367	-1
2908	3558	-1
7058	4052	-1
53615	6615	-1
5708	6622	-1
1432	1978	-1
5770	1398	-1
5601	4776	-1
11213	3556	-1
6670	7015	-1
50818	1956	-1
2335	1437	-1
3557	11213	-1
823	3689	-1
